a,b,c,d
62.538864,23.88408454,84.7401912,25.75226586
63.6096264,23.90453908,85.9054416,25.91590218
64.6788648,23.89090272,87.072216,25.85453856
65.74536,23.86363,88.2261888,25.65681134
66.8112456,23.84999364,89.3637024,25.48635684
67.877436,23.85681182,90.4954248,25.44544776
68.9478936,23.77499366,91.6347672,25.44544776
70.0107312,23.5909028,92.7805104,25.28862962
71.0571096,23.44772102,93.911928,24.90681154
72.0967824,23.44090284,95.0104272,24.49772074
73.1419416,23.5568119,96.085152,24.33408442
74.2026456,23.73408458,97.1647536,24.46362984
75.2709696,23.81590274,98.26752,24.66817524
76.335636,23.80908456,99.3821736,24.73635704
77.399388,23.82272092,100.4876832,24.68862978
78.4634448,23.86363,101.5816104,24.74317522
79.5290256,23.9659027,102.6828528,25.04999332
80.5994832,24.18408446,103.8151848,25.4318114
81.6806088,24.59317526,104.968548,25.65681134
82.7855088,25.17953874,106.1200824,25.76590222
83.9272896,25.81362948,107.2658256,25.9431749
85.1053416,26.27044754,108.4207128,26.37272024
86.2989384,26.39999296,109.6103472,27.02726552
87.4833912,26.25681118,110.8383864,27.68862898
88.6483368,26.0795385,112.0941624,28.22044702
89.806272,25.99772034,113.3715792,28.58181056
90.970608,25.9431749,114.6599688,28.77953778
92.1376872,25.71135678,115.9523208,28.85453776
93.2867832,25.227266,117.2434536,28.86135594
94.4008272,24.63408434,118.5324528,28.86817412
95.4810384,24.15681174,119.8245,28.86135594
96.5450952,23.91135726,121.1195952,28.72499234
97.607628,23.84317546,122.406156,28.39090152
98.6735136,23.85681182,123.6701616,27.8863562
99.7406184,23.86363,124.9003344,27.35453816
100.808028,23.85681182,126.1024656,27.0340837
101.8736088,23.84317546,127.2988056,26.98635644
102.9352272,23.92499362,128.5042896,27.09544732
104.0020272,24.16362992,129.7216608,27.22499274
105.0822384,24.60681162,130.9442136,27.28635636
106.1895768,25.2954478,132.164328,27.27953818
107.3389776,26.0795385,133.3829184,27.26590182
108.5261736,26.73408378,134.6018136,27.26590182
109.7450688,27.1363564,135.8207088,27.26590182
110.9691456,27.28635636,137.039604,27.26590182
112.186212,27.38181088,138.2584992,27.26590182
113.40846,27.59999264,139.4773944,27.26590182
114.6465576,27.94771982,140.6962896,27.26590182
115.9056864,28.31590154,141.9157944,27.25226546
117.1831032,28.6022651,143.1331656,27.24544728
118.4708832,28.76590142,144.3477936,27.31362908
119.762016,28.82726504,145.5666888,27.51817448
121.0516248,28.82726504,146.8029576,27.77726532
